tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2009686138395480136',"If you want to say this woman's death is a tragedy, that we should pray for her soul as Christians and Americans, then I agree with you.

But the media dishonesty about this officer is an all-time moment in shameless press propaganda. 

Does this law enforcement officer have a family? Yes. Did he he get seriously injured by a vehicle just six months ago? Yes. Did he have reason to fear for his life? Yes. Does he have every right to safety while he's doing his job? Yes. 

I want our law enforcement officers to do their jobs and come home safely to their family. If you don't like the immigration policy of the Trump administration, attack me. Leave our law enforcement alone.

And it's time for the press to finally tell the truth about this story. 

https://t.co/WdAiSc1tcL",en,Tweet,4060,168119,21645,20209,35862325,2026-01-09 12:58:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009631297355055318',Absolutely insane headline,en,Tweet,13453,248279,32215,5182,10731654,2026-01-09 09:20:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009631634878787691',Some of our best Muslim allies in the Gulf think the Islamist indoctrination in certain parts of the west is too dangerous.,en,Reply,1354,73708,6046,1939,1573442,2026-01-09 09:21:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009448194825179373',"RT @undefined: JUST IN: President Trump says the United States will be conducting land strikes against the cartels. 

""We are gonna start now hitting land, with regard to the cartels. The cartels are running Mexico.""

""It's very, very sad to watch and see what's happened to that country, but the cartels are running and they're killing 300,000 people in our country every single year.""",en,Retweet,1524,24509,3707,1253,2243620,2026-01-08 21:12:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009447861419954183/vid/avc1/1916x1080/vQK5oKH86GcQWiMV.mp4?tag=21
'2009350131867635918',"I've seen a lot of dishonest coverage from the media during my time in politics, but the last 24 hours may have set a new low. https://t.co/V8q4mcSCtS",en,Tweet,4136,165270,28052,21554,4894681,2026-01-08 14:42:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009349747413319680/vid/avc1/1280x720/XheFeRkeoR6otC77.mp4?tag=21
'2009265176617329034',hey @SecKennedy this new food pyramid is solid but you forgot to include one dietary staple: https://t.co/U4sLhblmbq,en,Tweet,1350,79339,2950,4338,11815407,2026-01-08 09:05:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-JX_xXWYAAtF-L.png
'2009255599268130914',"This is preposterous.

First of all, she's not waving the officers through and has no right to do so even if she were. She is waving another car through, before the officers approach her car. 

Second, the officers are not randomly searching her, they are approaching her vehicle because she is violating the law: namely, she is obstructing a lawful enforcement operation. You're not allowed to walk up to or drive up to people who are enforcing the law to make it harder for them to do their jobs. 

Third, this defense attorney is drawing a meaningless distinction between an ICE officer and a ""real police officer."" Again, you're not allowed to interrupt a lawful enforcement operation, which is exactly what this woman was doing. 

Fourth, the officer didn't discharge his weapon to prevent her from fleeing. When he discharged his weapon, she had pointed the vehicle at him and pressed the gas. He discharged his weapon in self defense, and other angles of the video show the woman *clearly* hit the officer with her car while accelerating. 

The gaslighting is off the charts and I'm having none of it. This guy was doing his job. She tried to stop him from doing his job. When he approached her car, she tried to hit him. 

A tragedy? Absolutely. But a tragedy that falls on this woman and all of the radicals who teach people that immigration is the one type of law that rioters are allowed to interfere with.",en,Tweet,7021,145097,21815,25565,22292456,2026-01-08 08:27:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009248101064704147',"Every congressional democrat and every democrat who's running for president should be asked a simple question:

Do you think this officer was wrong in defending his life against a deranged leftist who tried to run him over? 

These people are going to try to arrest our law enforcement for doing their jobs. The least the media could do is ask them about it.

https://t.co/yM4cIR20Zt",en,Tweet,1790,51643,6138,20152,22411767,2026-01-08 07:57:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009245306450559348',"Call me crazy, but I don't think we should be seizing people's property based on skin color.",en,Tweet,1373,107789,9417,3840,4191474,2026-01-08 07:46:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009090255908130994',"I want every ICE officer to know that their president, vice president, and the entire administration stands behind them.

To the radicals assaulting them, doxxing them, and threatening them: congratulations, we're going to work even harder to enforce the law.",en,Tweet,4305,283117,34649,23925,13460481,2026-01-07 21:30:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2009089769469538404',"Correct. You can accept that this woman's death is a tragedy while acknowledging it's a tragedy of her own making.

Don't illegally interfere in federal law enforcement operations and try to run over our officers with your car. It's really that simple.",en,Tweet,3250,154128,18179,13676,9129609,2026-01-07 21:28:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2008982219050860598',"""People live in homes, not corporations."" https://t.co/YLPCFi46Ro",en,Tweet,1637,90397,11891,3729,1825498,2026-01-07 14:21:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-FWrcNWMAA23CM.jpg
'2008691467603292249',https://t.co/YnZ7UExSYQ,zxx,Tweet,908,58644,7723,5205,2578526,2026-01-06 19:05:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-BOPUcWcAAXgN0.jpg
'2008689010768814317',https://t.co/hNjkTjMQny,zxx,Tweet,4751,142331,18936,15596,8848365,2026-01-06 18:55:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-BMAetXwAEJdH7.jpg
'2008668995327848805',"Happy Birthday to my darling Usha, who turns 40 today! https://t.co/cXo9c4bUyu",en,Tweet,1620,240871,12840,14123,4084341,2026-01-06 17:36:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-A5zIUWYAAmiFv.jpg
'2008602299137237494',May he rest in peace 🙏,en,Tweet,121,17507,1415,592,568349,2026-01-06 13:11:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2008331857142702245',"RT @undefined: 🇺🇸 Best. Team. Ever. 🇺🇸

Both humble and kind men who are leading this country well. 

Praying over them daily and their families.

Thank you .@realDonaldTrump and .@JDVance for all you do for our country! https://t.co/cnzBaHyx6L",en,Retweet,52,4140,466,194,188800,2026-01-05 19:16:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G98HLf3bMAA2BSn.jpg,https://pbs.twimg.com/media/G98HLf4bcAMfUR_.jpg"
'2008166876531044850',"RT @undefined: I like having a vice president who can perfectly articulate defenses of @realDonaldTrump's policies.

A must-read from @JDVance.",en,Retweet,93,4189,435,218,388630,2026-01-05 08:21:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
