tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2009760421079626064',Oh. https://t.co/kCsxiHxEKe,und,Tweet,246,26959,1860,420,255629,2026-01-09 17:53:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G-QacwQbgAAe4hs.jpg
'2009690615337062810',"""the golden era""",en,Tweet,45,2637,568,424,162173,2026-01-09 13:15:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2013917282905285111',Deliveries in the snow with our friends from @JustEatTakeaway &amp; Oh My Greek! https://t.co/DGoeUUBZhp,en,Tweet,0,5,2,0,21179,2026-01-21 05:11:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2013917165712257024/vid/avc1/1080x1920/MdKrM1uQjVRur2fD.mp4?tag=21
'2009636932364693956',"Great work, @realDonaldTrump.",en,Tweet,187,10908,2334,1314,317492,2026-01-09 09:42:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2009487635761500660',"Fact check: The only people receiving Trump’s “huge” tax cuts are billionaires.

Funded by cuts to Medicaid and food assistance programs.",en,Tweet,99,7721,1514,1673,224753,2026-01-08 23:49:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2009478435287257593',"RT @undefined: Yet another attack and shooting by President Trump’s private police force on American soil.

Disgusting. 

Remember, if you are going to protest — do so peacefully. Do not play into their games of escalation. They do not care about you, only their agenda.",en,Retweet,80,6495,822,835,228666,2026-01-08 23:12:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2009374433983779072',"The nation has seen an 18.1% overall increase in homelessness.

In California, homelessness just dropped 9%.

Our investments are paying off. https://t.co/4ZuSGdNIRq",en,Tweet,102,5613,768,4529,243514,2026-01-08 16:19:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G-K6whwbgAAc0DU.jpg
'2012968760131653653',Our spacious Challenger 604 cabin. Ideal for long flights. https://t.co/R4xE34OrEs,en,Tweet,12,43,4,11,198523,2026-01-18 14:22:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G--AayvXgAAMBuo.jpg
'2009355891288805417',This is the California Way. https://t.co/ciDqC7ihPs,en,Tweet,41,1711,235,548,73122,2026-01-08 15:05:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009355082660474880/vid/avc1/1080x1080/zZ69eo0xVg9oiEJw.mp4?tag=21
'2009354858328199393',It’s time for the President of the United States to act like a President for ALL the United States. https://t.co/DzlmdLDrkk,en,Tweet,112,6846,1010,1747,191093,2026-01-08 15:01:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2009354459760267264/vid/avc1/1080x1080/KOQthovXXr8RH6kK.mp4?tag=21
